ImageFilename,Location,Category,Priority,Notes
IMG20260525134438.jpg,Building I,Foundation,High,Soil erosion exposing slab over pour.
IMG20260525134442.jpg,Building I,Tenant SUN33,Moderate,"Hammock frame to be removed, fall and trip hazard"
IMG20260525134446.jpg,Building I,Sewerage,High,"Bolted Screw Cap protruding due to soil erosion, trip hazard. "
IMG20260525134451.jpg,Building I,"Sewerage, Storm Water",High,"Bolted Screw Cap protruding due to soil erosion, trip hazard. Flex downpipe deteriorated."
IMG20260525134457.jpg,Building I,Foundation,Low,Algae present around slab
IMG20260525134500.jpg,Building I,Foundation,High,Soil erosion exposing slab. Cracking to base of post.
IMG20260525134514.jpg,Building I,Foundation,High,"Soil erosion exposing unit patio slab, potential for water to enter under slab and degrade integrity from below. Cracking to base of post."
IMG20260525134515.jpg,Building I,Foundation,High,"Soil erosion exposing unit patio slab, potential for water to enter under slab and degrade integrity from below. Cracking to base of post."
IMG20260525134521.jpg,Building I,Sewerage,Low,"Bolted Screw Cap buried due to movement, potential to restrict access"
IMG20260525134525.jpg,Building I,Foundation,High,"Soil erosion exposing unit patio slab, potential for water to enter under slab and degrade integrity from below. Cracking to base of post."
IMG20260525134538.jpg,Building I,Sewerage,Moderate,"Bolted Screw Cap missing, potential for extensive damage to plumbing infrastructure from animal or debris entering sewer system"
IMG20260525134543.jpg,Building I,Facade,Moderate,"Lattice deteriorated and protruding from building, risk of harm from panels and exposed nails"
IMG20260525134548.jpg,Building I,Facade,High,"Lattice deteriorated and protruding from building, risk of harm from panels and exposed nails. Soil erosion exposing slab, algae evident to surrounding area"
IMG20260525134554.jpg,Building I,Storm Water,Moderate,Flex downpipe broken
IMG20260525134623.jpg,Building L,"Foundation, Storm Water",High,"Separation of pathway from building. Downpipe broken, water marks evident on concrete"
IMG20260525134636.jpg,Building I & Building L,Storm Water,High,Storm water pipe under path exposed due to soil erosion
IMG20260525134640.jpg,Building I & Building L,Storm Water,High,Storm water pipe under path exposed due to soil erosion
IMG20260525134650.jpg,Building L,"Foundation, Storm Water",High,"Separation of pathway from building. Downpipe broken, water marks evident on concrete"
IMG20260525134708.jpg,Building L,"Storm Water, Foundation",High,"Flex downpipe broken, Soil erosion exposing slab, cracking to base of posts"
IMG20260525134711.jpg,Building L,Sewerage,Low,"Bolted Screw Cap cracking, replacement recommended"
IMG20260525134716.jpg,Building L,Foundation,Moderate,"Cracking of slab to base of posts, algae evident around storm pipe."
IMG20260525134724.jpg,Building L,Foundation,Moderate,Cracking of slab to base of post.
IMG20260525134727.jpg,Building L,Foundation,Moderate,Cracking of slab to base of post.
IMG20260525134731.jpg,Building L,Foundation,Moderate,Cracking of slab to base of post.
IMG20260525134736.jpg,Building L,Foundation,Moderate,Cracking of slab to base of post.
IMG20260525134742.jpg,Building L,Sewerage,Low,"Bolted Screw Cap buried due to movement, potential to restrict access"
IMG20260525134747.jpg,Building L,Foundation,Moderate,Cracking of slab to base of post.
IMG20260525134751.jpg,Building L,Foundation,Moderate,Cracking of slab to base of post.
IMG20260525134806.jpg,Building L,Foundation,Moderate,Cracking of slab to base of post.
IMG20260525134808.jpg,Building L,Foundation,Moderate,Cracking of slab to base of post.
IMG20260525134810.jpg,Building L,Foundation,Moderate,Cracking of slab to base of post.
IMG20260525134813.jpg,Building L,Sewerage,Moderate,"Bolted Screw Cap cracking, replacement recommended. Trip Hazard"
IMG20260525134818.jpg,Building L,Sewerage,Moderate,"Bolted Screw Cap cracking, replacement recommended. Trip Hazard"
IMG20260525134826.jpg,Building L,Facade,High,"Lattice deteriorated and protruding from building, risk of harm from panels and exposed nails"
IMG20260525134844.jpg,Building L,Storm Water,Low,"Flex downpipe deteriorated, algae build up present. "
IMG20260525134852.jpg,Building L & Building N,"Storm Water, Foundation",Low,Flex downpipe deteriorated. Cracking of concrete to base of post.
IMG20260525134911.jpg,Building L & Building N,Storm Water,High,Flex downpipe separated. Algae present at base of downpipe
IMG20260525134935.jpg,Building N,Sewerage,Moderate,"Bolted Screw Cap protruding, trip hazard"
IMG20260525134939.jpg,Building N,"Storm Water, Foundation",Moderate,Flex downpipe broken. Cracking of concrete to base of post.
IMG20260525134947.jpg,Building N,Foundation,Moderate,Cracking of slab to base of post.
IMG20260525134954.jpg,Building N,Foundation,Moderate,Cracking of slab to base of post.
IMG20260525135020.jpg,Building N,Storm Water,Moderate,Flex downpipe broken
IMG20260525135023.jpg,Building N,Grounds,Informational,Slab has mulitple cracks near posts
IMG20260525135039.jpg,Building O,Storm Water,Low,Flex downpipe deteriorated.
IMG20260525135155.jpg,Building O,Foundation,High,Erosion to edge of patio concrete
IMG20260525135201.jpg,Building O,Storm Water,Low,Flex downpipe deteriorated.
IMG20260525135220.jpg,Building O,"Sewerage, Grounds",Moderate,"Bolted Screw Cap protruding, trip hazard. Roots from neighbouring tree"
IMG20260525135221.jpg,Building O,Fence,Low,Second wood panel to end section of colourbond fence yet to be installed
IMG20260525135249.jpg,Building O,Fence,Moderate,"Wood fence being held in place by a rope, tree in photo fills gutters of building causing heavy overflow during rains"
IMG20260525135309.jpg,Building O,Fence,Low,Post holes not filled
IMG20260525135311.jpg,Building O,Fence,Low,Post holes not filled
IMG20260525135314.jpg,Building O,Grounds,Moderate,"Arborist required to remove branches from neighbouring tree. Neighbour refuses to remove tree, cut branches can be placed on their side of the fence upon removal"
IMG20260525135319.jpg,Building O,Fence,Low,Post holes not filled
IMG20260525135329.jpg,Building O,Fence,Low,Post holes not filled
IMG20260525135332.jpg,Building O,"Storm Water, Foundation",High,"Flex downpipe deteriorated, algae present to base of downpipe. Soil erosion exposing slab."
IMG20260525135335.jpg,Building M,"Storm Water, Foundation",Moderate,Flex downpipe broken. Cracking of concrete to base of post.
IMG20260525135411.jpg,Building M,Foundation,Moderate,Cracking of slab to base of post.
IMG20260525135416.jpg,Building M,Foundation,Moderate,Cracking of slab to base of post.
IMG20260525135423.jpg,Building M,Foundation,Moderate,Cracking of slab to base of post.
IMG20260525135431.jpg,Building M,Foundation,Moderate,Cracking of slab to base of post.
IMG20260525135448.jpg,Building M,"Storm Water, Foundation",Moderate,Flex downpipe broken. Cracking of concrete to base of post.
IMG20260525135511.jpg,Building K,Foundation,Moderate,Cracking of slab to base of post.
IMG20260525135515.jpg,Building K,Foundation,Moderate,Cracking of slab to base of post.
IMG20260525135519.jpg,Building K,Foundation,Moderate,Cracking of slab to base of post.
IMG20260525135521.jpg,Building K,Foundation,Moderate,Cracking of slab to base of post.
IMG20260525135532.jpg,Building K,Foundation,Moderate,Cracking of slab to base of post.
IMG20260525135550.jpg,Building K,Storm Water,Low,Flex downpipe deteriorated
IMG20260525135555.jpg,Building K,"Storm Water, Foundation, Sewerage",Moderate,"Flex downpipe broken. Cracking of concrete to base of post. Algae present at base of downpipe and slab. Bolted Screw Cap protruding, trip hazard. "
IMG20260525135610.jpg,Building K,Sewerage,Moderate,"Bolted Screw Cap broken, potential for extensive damage to plumbing infrastructure from animal or debris entering sewer system"
IMG20260525135623.jpg,Building J,Storm Water,Moderate,Flex downpipe complete faliure. 
IMG20260525135637.jpg,Building M & Building J,Pathway,High,"Holes and erosion to concrete paths, continue to monitor"
IMG20260525135640.jpg,Building M & Building J,Pathway,High,"Holes and erosion to concrete paths, continue to monitor"
IMG20260525135707.jpg,Building J,Storm Water,Moderate,Flex downpipe broken
IMG20260525135716.jpg,Building J,Storm Water,Low,Flex downpipe deteriorated
IMG20260525135722.jpg,Building J,Sewerage,Moderate,"Bolted Screw Cap protruding, trip hazard"
IMG20260525135745.jpg,Building J,Sewerage,Moderate,"Bolted Screw Cap protruding, trip hazard. "
IMG20260525135751.jpg,Building J,Sewerage,Moderate,"Bolted Screw Cap broken, potential for extensive damage to plumbing infrastructure from animal or debris entering sewer system"
IMG20260525135756.jpg,Building J,Storm Water,Low,Both Flex downpipes deteriorated. Algae present
IMG20260525135800.jpg,Building J,Sewerage,Moderate,"Bolted Screw Cap protruding, trip hazard"
IMG20260525135807.jpg,Building J,Storm Water,Low,Flex downpipe deteriorated
IMG20260525135838.jpg,Building J,Storm Water,Low,Downpipe deteriorated
IMG20260525135847.jpg,Building J,Foundation,Moderate,Cracking of slab to base of post.
IMG20260525135853.jpg,Building J,Foundation,Moderate,Cracking of slab to base of post.
IMG20260525135900.jpg,Building J,Foundation,Moderate,Cracking of slab to base of post.
IMG20260525135907.jpg,Building H & Building J,Infrastructure,High,"Soil erosion has caused utility pits to be exposed. Energex and Telstra required to attend if repairs required, potential costs involved. Bolted Screw Cap protruding, trip hazard"
IMG20260525135925.jpg,Building H,Pathway,High,"Algae build up present at base of downpipe, all bin corals pressure washed November 2025"
IMG20260525135932.jpg,Building H,Pathway,High,"Algae build up present at base of downpipe, all bin corals pressure washed November 2026"
IMG20260525135940.jpg,Building H,Storm Water,Low,Flex downpipe deteriorated. Algae present on slab
IMG20260525140053.jpg,Building H,Storm Water,Low,Downpipe deteriorated
IMG20260525140102.jpg,Building H,Storm Water,Low,Flex downpipe deteriorated
IMG20260525140117.jpg,Building H,Storm Water,Low,Flex downpipe deteriorated
IMG20260525140137.jpg,Building H,Foundation,High,"Soil erosion exposing unit patio slab, potential for water to enter under slab and degrade integrity from below. Cracking to base of post."
IMG20260525140139.jpg,Building H,Sewerage,Moderate,"Bolted Screw Cap protruding, trip hazard"
IMG20260525140156.jpg,Building H,Foundation,High,"Soil erosion exposing unit patio slab, potential for water to enter under slab and degrade integrity from below. Cracking to base of post."
IMG20260525140215.jpg,Building H,Foundation,High,"Soil erosion exposing unit patio slab, potential for water to enter under slab and degrade integrity from below. Cracking to base of post."
IMG20260525140222.jpg,Building H,Sewerage,Moderate,"Bolted Screw Cap protruding, trip hazard"
IMG20260525140233.jpg,Building K,Foundation,Critical,Cracking of slab to base of post.
IMG20260525140252.jpg,Building K,Foundation,Critical,Exposed/protruding rebar
IMG20260525140256.jpg,Building K,Foundation,Critical,Exposed/protruding rebar
IMG20260525140308.jpg,Building K,Foundation,Critical,Exposed/protruding rebar
IMG20260525140318.jpg,Building K,Sewerage,Moderate,"Bolted Screw Cap protruding, trip hazard"
IMG20260525140329.jpg,Building K,Storm Water,Low,Flex downpipe deteriorated
IMG20260525140341.jpg,Building K,Sewerage,Moderate,"Bolted Screw Cap broken, potential for extensive damage to plumbing infrastructure from animal or debris entering sewer system"
IMG20260525140343.jpg,Building K,Storm Water,Moderate,Flex downpipe broken
IMG20260525140349.jpg,Building K,"Storm Water, Foundation",High,"Flex downpipe broken. Soil erosion exposing unit patio slab, potential for water to enter under slab and degrade integrity from below. Cracking to base of post."
IMG20260525140356.jpg,Building K,Foundation,High,"Soil erosion exposing unit patio slab, potential for water to enter under slab and degrade integrity from below. Cracking to base of post. Algae present to slab and lattice"
IMG20260525140415.jpg,Building K,Foundation,High,"Soil erosion exposing unit patio slab, potential for water to enter under slab and degrade integrity from below. Cracking to base of post. Algae present to slab and lattice"
IMG20260525140439.jpg,Building M,"Storm Water, Foundation, Sewerage",Moderate,"Flex downpipe broken. Cracking of concrete to base of post. Algae present at base of downpipe, lattice and slab. Bolted Screw Cap protruding, trip hazard. "
IMG20260525140451.jpg,Building M,Foundation,High,"Soil erosion exposing unit patio slab, potential for water to enter under slab and degrade integrity from below. Cracking to base of post. Algae present to slab and lattice"
IMG20260525140452.jpg,Building M,Sewerage,Moderate,"Bolted Screw Cap protruding, trip hazard"
IMG20260525140500.jpg,Building M,Foundation,Moderate,"Algae visible around base of downpipe, slab and lattice. Cracking to base of post."
IMG20260525140507.jpg,Building M,Foundation,High,Cracking of slab to base of post.
IMG20260525140515.jpg,Building M,Foundation,Moderate,"Algae visible around base of downpipe, slab and lattice. Cracking to base of post."
IMG20260525140517.jpg,Building M,"Storm Water, Foundation",Moderate,"Flex downpipe broken. Algae visible around base of downpipe, slab and lattice. Cracking to base of post."
IMG20260525140523.jpg,Building M,Storm Water,Moderate,Flex downpipe broken
IMG20260521121857.jpg,Building M,Pathway,High,"Footpath has separated from building, this allows for water ingress"
IMG20260521123317.jpg,Building M,Pathway,Critical,Rebar visible where concrete is broken at base of post
IMG20260521123328.jpg,Building M,Pathway,Critical,Rebar visible where concrete is broken at base of post
IMG20260521123426.jpg,Building M,Pathway,Critical,Rebar visible where concrete is broken at base of post
IMG20260521123521.jpg,Building M,Pathway,Critical,Pathway cracking at base of post
IMG20260521123528.jpg,Building M,Pathway,Critical,Pathway cracking at base of post
IMG20260521121946.jpg,Building M,Pathway,High,"Footpath has separated from building, this allows for water ingress"
IMG20260525140550.jpg,Carpark,Asphalt,Moderate,"Noticeable patches of loose gravel/aggregate on the surface. Small, shallow pits are forming where rocks have completely dislodged."
IMG20260525140554.jpg,Carpark,Asphalt,High,Large amounts of loose rock are present (creating a slip hazard for pedestrians or traction issues for vehicles).
IMG20260525140556.jpg,Carpark,Asphalt,High,Large amounts of loose rock are present (creating a slip hazard for pedestrians or traction issues for vehicles).
IMG20260525140559.jpg,Carpark,Asphalt,High,Large amounts of loose rock are present (creating a slip hazard for pedestrians or traction issues for vehicles).
IMG20260525140604.jpg,Carpark,Asphalt,High,Large amounts of loose rock are present (creating a slip hazard for pedestrians or traction issues for vehicles).
IMG20260525140610.jpg,Carpark,Asphalt,High,Large amounts of loose rock are present (creating a slip hazard for pedestrians or traction issues for vehicles).
IMG20260525140619.jpg,Carpark,Asphalt,High,Large amounts of loose rock are present (creating a slip hazard for pedestrians or traction issues for vehicles).
IMG20260525140625.jpg,Carpark,Asphalt,High,Large amounts of loose rock are present (creating a slip hazard for pedestrians or traction issues for vehicles).
IMG20260525140627.jpg,Carpark,Asphalt,High,Large amounts of loose rock are present (creating a slip hazard for pedestrians or traction issues for vehicles).
IMG20260525140639.jpg,Carpark,Asphalt,Moderate,"Noticeable patches of loose gravel/aggregate on the surface. Small, shallow pits are forming where rocks have completely dislodged."
IMG20260525140649.jpg,Carpark,Asphalt,Moderate,"Noticeable patches of loose gravel/aggregate on the surface. Small, shallow pits are forming where rocks have completely dislodged."
IMG20260525140657.jpg,Carpark,Asphalt,High,Large amounts of loose rock are present (creating a slip hazard for pedestrians or traction issues for vehicles).
IMG20260525140702.jpg,Carpark,Asphalt,High,Clear difference of surface intergrity can be seen between the carparks and the resurfaced section of the driveway
IMG20260525140716.jpg,Carpark,Asphalt,High,Large amounts of loose rock are present (creating a slip hazard for pedestrians or traction issues for vehicles).
IMG20260525140724.jpg,Carpark,Asphalt,High,Large amounts of loose rock are present (creating a slip hazard for pedestrians or traction issues for vehicles).
IMG20260525140745.jpg,Carpark,Asphalt,Moderate,"Noticeable patches of loose gravel/aggregate on the surface. Small, shallow pits are forming where rocks have completely dislodged."
IMG20260525140758.jpg,Carpark,Asphalt,High,Large amounts of loose rock are present (creating a slip hazard for pedestrians or traction issues for vehicles).
IMG20260525140803.jpg,Carpark,Asphalt,High,Clear difference of surface intergrity can be seen between the carparks and the resurfaced section of the driveway
IMG20260525140806.jpg,Carpark,Asphalt,High,Clear difference of surface intergrity can be seen between the carparks and the resurfaced section of the driveway
IMG20260525140811.jpg,Carpark,Asphalt,High,Clear difference of surface intergrity can be seen between the carparks and the resurfaced section of the driveway
IMG20260525141053.jpg,Carpark,Asphalt,High,Large amounts of loose rock are present (creating a slip hazard for pedestrians or traction issues for vehicles).
IMG20260525141100.jpg,Carpark,Asphalt,High,Large amounts of loose rock are present (creating a slip hazard for pedestrians or traction issues for vehicles).
IMG20260212230646.jpg,Carpark,Lighting,Critical,Lights to round about and scheme buildings only light to carpark
IMG20260212230251.jpg,Carpark,Lighting,Critical,"No lighting to lower carpark, serious safety and liability issue"
IMG20260212230736.jpg,Carpark,Lighting,Critical,"Driveway light no longer operational, the council street lamp is the only illumination"
IMG20260212231021.jpg,Carpark,Lighting,Critical,Lights from scheme pathways only illumnation to carpark
IMG20260212230846.jpg,Carpark,Lighting,Critical,Lights from scheme pathways only illumnation to carpark. Bollard and Floodlight no longer operational
IMG20260525140820.jpg,Round About,"Paving, Pathways & Trip Hazards",Moderate,"Driveway is block cracking, this is and will contiue to reduce the integirty of the road way as water is able to leak down to the substrate. This is the cause for the potholes reappearing frequently."
IMG20260525140823.jpg,Round About,"Paving, Pathways & Trip Hazards",Moderate,"Driveway is block cracking, this is and will contiue to reduce the integirty of the road way as water is able to leak down to the substrate. This is the cause for the potholes reappearing frequently."
IMG20260525140843.jpg,Round About,"Paving, Pathways & Trip Hazards",Moderate,"Driveway is block cracking, this is and will contiue to reduce the integirty of the road way as water is able to leak down to the substrate. This is the cause for the potholes reappearing frequently."
IMG20260525140849.jpg,Round About,"Paving, Pathways & Trip Hazards",Moderate,"Driveway is block cracking, this is and will contiue to reduce the integirty of the road way as water is able to leak down to the substrate. This is the cause for the potholes reappearing frequently."
IMG20260525140859.jpg,Round About,"Paving, Pathways & Trip Hazards",Moderate,"Driveway is block cracking, this is and will contiue to reduce the integirty of the road way as water is able to leak down to the substrate. This is the cause for the potholes reappearing frequently."
IMG20260525140900.jpg,Driveway,Asphalt,High,Large amounts of loose rock are present (creating a slip hazard for pedestrians or traction issues for vehicles).
IMG20260525140905.jpg,Driveway,Asphalt,High,Large amounts of loose rock are present (creating a slip hazard for pedestrians or traction issues for vehicles).
IMG20260525140910.jpg,Driveway,Asphalt,High,Large amounts of loose rock are present (creating a slip hazard for pedestrians or traction issues for vehicles).
IMG20260525140926.jpg,Driveway,Asphalt,High,Large amounts of loose rock are present (creating a slip hazard for pedestrians or traction issues for vehicles).
IMG20260525140939.jpg,Driveway,Asphalt,High,Large amounts of loose rock are present (creating a slip hazard for pedestrians or traction issues for vehicles).
IMG20260525141015.jpg,Driveway,Asphalt,High,Large amounts of loose rock are present (creating a slip hazard for pedestrians or traction issues for vehicles).
